year,country,oil production - TWh,gas production - TWh,oil consumption - TWh,gas consumption - TWh,co2,gas_co2,oil_co2,population,gdp,co2_growth_abs,co2_growth_prct,co2_per_unit_energy,total_ghg,cumulative_oil_co2,methane
1965,Africa,1235.101,,341.07257,9.57193,213.634,2.123,75.982,321013569.0,,19.995,10.326,0.437,1867.017,755.493,522.775
1966,Africa,1571.8269,,369.46457,10.6980915,221.082,2.36,83.845,329252360.0,,7.448,3.486,0.437,1869.86,839.338,596.237
1967,Africa,1729.137,,368.28156,10.573844,237.045,2.319,80.898,337851070.0,,15.963,7.22,0.468,1969.387,920.236,627.802
1968,Africa,2216.126,,389.57162,10.717145,257.271,2.364,85.992,346800965.0,,20.226,8.533,0.479,1913.707,1006.227,588.869
1969,Africa,2818.2944,,397.3726,12.520175,277.717,2.89,93.614,356032572.0,,20.445,7.947,0.515,2032.769,1099.841,663.881
1970,Africa,3399.6292,30.07551,434.28757,15.5485,302.406,0.816,98.18,365552194.0,,24.689,8.89,0.521,2112.525,1198.021,706.155
1971,Africa,3181.0298,37.022903,472.22516,18.405264,331.613,1.693,115.056,375326467.0,,29.207,9.658,0.535,2052.459,1313.077,672.358
1972,Africa,3194.1733,65.13485,509.09583,24.670658,351.688,4.414,119.141,385312221.0,,20.075,6.054,0.539,2058.444,1432.218,694.849
1973,Africa,3346.9214,98.32215,549.6427,39.551792,377.821,5.36,128.051,395821972.0,,26.133,7.431,0.543,2109.666,1560.269,726.676
1974,Africa,3085.5674,102.605,570.538,44.518486,388.183,5.111,133.922,406870347.0,,10.362,2.743,0.531,2111.944,1694.191,706.88
1975,Africa,2831.0925,115.33115,598.6075,53.63838,387.017,6.422,143.499,418433494.0,,-1.166,-0.3,0.49,2112.277,1837.69,694.603
1976,Africa,3377.11,137.28214,651.3652,60.98139,419.915,8.885,150.449,430496972.0,,32.898,8.5,0.492,2179.39,1988.139,744.673
1977,Africa,3541.0354,139.97685,692.9117,68.23419,432.919,13.669,159.366,442660474.0,,13.004,3.097,0.484,2292.256,2147.505,780.365
1978,Africa,3456.5452,186.69028,730.7279,97.369896,462.339,34.434,165.156,455539246.0,,29.42,6.796,0.5,2222.878,2312.661,775.239
1979,Africa,3800.2239,283.32996,770.22455,148.84282,498.987,19.657,180.866,469198447.0,,36.648,7.927,0.499,2297.843,2493.528,852.117
1980,Africa,3492.487,248.30338,818.9584,186.91397,536.023,34.632,198.146,483051703.0,,37.037,7.422,0.303,2336.833,2691.673,829.285
1981,Africa,2773.1401,264.74805,887.7277,228.49115,548.882,29.401,213.762,497620997.0,,12.859,2.399,0.284,2274.556,2905.435,751.724
1982,Africa,2666.0615,325.1129,930.6774,246.73354,571.969,23.985,235.836,512958818.0,,23.087,4.206,0.279,2324.004,3141.271,774.522
1983,Africa,2702.3513,436.95685,964.2179,271.27536,594.811,30.431,243.477,528232712.0,,22.842,3.994,0.28,2381.576,3384.748,778.022
1984,Africa,2885.7793,458.6507,978.6124,259.9028,649.591,47.57,250.966,543638102.0,,54.78,9.21,0.293,2565.165,3635.715,784.819
1985,Africa,3000.331,505.6782,1003.6883,278.84274,666.142,48.848,252.122,559664031.0,,16.551,2.548,0.29,2605.053,3887.836,807.11
1986,Africa,2991.7114,530.1431,979.9832,313.27118,690.176,58.357,254.618,575967283.0,,24.034,3.608,0.293,2605.407,4142.454,814.788
1987,Africa,2997.6375,578.9782,1037.7959,323.38437,690.283,67.872,245.033,592601301.0,,0.107,0.015,0.286,2674.219,4387.487,837.23
1988,Africa,3124.9639,617.5323,1081.3895,358.44455,725.373,68.952,262.925,609387686.0,,35.09,5.083,0.281,2689.547,4650.412,840.866
1989,Africa,3449.0317,677.40796,1117.3824,371.47104,698.583,71.403,269.157,626359180.0,,-26.79,-3.693,0.269,2739.481,4919.569,895.99
1990,Africa,3696.372,721.5906,1138.2854,398.6454,658.344,75.954,243.02,643775320.0,,-40.239,-5.76,0.246,2857.158,5162.589,963.65
1991,Africa,3834.5972,773.4517,1142.5394,401.6356,687.67,78.466,257.521,661103806.0,,29.327,4.455,0.256,2971.052,5420.11,983.942
1992,Africa,3907.2974,808.2828,1162.5455,421.27026,666.66,74.272,256.048,678558076.0,,-21.01,-3.055,0.245,3063.356,5676.159,1000.285
1993,Africa,3856.3594,833.40674,1175.4089,412.64398,706.442,81.721,260.13,696621727.0,,39.782,5.967,0.26,3123.851,5936.289,1015.053
1994,Africa,3848.5923,789.64624,1213.8041,431.82797,790.234,85.589,256.525,714502658.0,,83.792,11.861,0.284,3395.308,6192.814,1078.401
1995,Africa,3910.9531,872.7052,1253.9824,461.2435,844.549,101.556,265.227,732695476.0,,54.316,6.873,0.29,3460.717,6458.041,1140.113
1996,Africa,4037.5745,933.325,1282.5608,484.19174,872.284,108.019,264.465,751473728.0,,27.735,3.284,0.292,3541.379,6722.506,1217.515
1997,Africa,4131.454,1041.611,1322.649,474.47556,893.938,95.205,303.134,770384702.0,,21.654,2.482,0.294,3588.715,7025.641,1198.982
1998,Africa,4145.346,1109.3164,1351.2659,499.337,912.482,112.713,315.172,789981698.0,,18.544,2.074,0.299,3699.745,7340.813,1204.311
1999,Africa,4028.149,1216.7258,1400.9159,504.01962,899.879,114.377,293.584,810079818.0,,-12.603,-1.381,0.284,3624.575,7634.396,1204.598
2000,Africa,4319.322,1351.0123,1408.781,556.8223,930.851,114.348,312.215,830582806.0,,30.972,3.442,0.285,3702.621,7946.612,1253.283
2001,Africa,4275.9756,1388.4131,1431.3003,634.63617,920.602,120.126,298.125,851690329.0,,-10.249,-1.101,0.272,3614.512,8244.736,1239.626
2002,Africa,4304.742,1449.3188,1465.1776,670.63605,899.996,134.355,287.549,873411364.0,,-20.606,-2.238,0.262,3683.872,8532.285,1210.495
2003,Africa,4681.981,1556.1813,1499.0969,711.5361,989.645,145.782,326.15,895734453.0,,89.649,9.961,0.275,3900.794,8858.436,1279.045
2004,Africa,5210.7056,1635.7334,1569.3588,830.44904,1045.726,152.688,349.6,918778450.0,,56.081,5.667,0.274,3948.601,9208.035,1293.109
2005,Africa,5401.9175,1700.5918,1643.527,808.0279,1059.372,183.513,335.862,942546623.0,,13.647,1.305,0.273,3984.174,9543.898,1327.578
2006,Africa,5488.3853,1841.4417,1669.9397,843.7478,1091.176,176.247,370.383,966932346.0,,31.803,3.002,0.276,4019.547,9914.281,1311.602
2007,Africa,5605.5054,1956.7667,1727.311,900.4146,1116.9,190.162,376.744,992055831.0,,25.724,2.357,0.275,4086.928,10291.026,1320.087
2008,Africa,5664.0703,2028.5223,1799.118,956.9722,1174.755,192.784,403.645,1018065513.0,,57.855,5.18,0.27,4414.531,10694.67,1350.788
2009,Africa,5446.1265,1912.9755,1870.0795,941.2384,1168.25,191.717,426.715,1044777740.0,,-6.505,-0.554,0.27,4502.975,11121.386,1331.524
2010,Africa,5628.514,2014.6625,1958.0597,981.41986,1216.669,201.908,454.33,1072216718.0,,48.419,4.145,0.269,4749.242,11575.715,1382.302
2011,Africa,4715.9775,2005.5299,1958.3862,1061.5934,1257.421,220.045,486.474,1100148882.0,,40.752,3.349,0.27,4864.815,12062.188,1391.057
2012,Africa,5110.917,2066.452,2105.0354,1147.4296,1268.948,241.271,468.133,1128843697.0,,11.527,0.917,0.263,4877.841,12530.321,1442.939
2013,Africa,4747.6934,1989.8983,2203.0942,1170.0558,1282.542,244.444,478.114,1158780551.0,,13.594,1.071,0.255,4859.291,13008.437,1434.035
2014,Africa,4531.725,1995.0391,2253.4895,1202.3505,1357.349,246.894,533.888,1189220573.0,,74.807,5.833,0.26,4832.225,13542.324,1447.458
2015,Africa,4481.6978,2061.933,2320.0535,1307.7611,1332.662,262.315,511.108,1220075728.0,,-24.687,-1.819,0.256,4700.034,14053.433,1467.377
2016,Africa,4230.382,2097.8086,2315.4639,1350.4667,1375.131,279.293,529.509,1251208654.0,,42.47,3.187,0.256,4723.368,14582.941,1478.882
2017,Africa,4464.1685,2301.3018,2349.5767,1455.7446,1393.216,300.807,532.134,1282902302.0,,18.085,1.315,0.255,4828.341,15115.075,1508.009
2018,Africa,4548.2583,2426.1494,2337.529,1553.0098,1386.654,301.683,525.864,1315409965.0,,-6.562,-0.471,0.25,4642.031,15640.939,1533.712
2019,Africa,4601.129,2455.7412,2364.799,1576.5094,1479.412,316.623,561.126,1348005687.0,,92.758,6.689,0.26,4668.679,16202.065,1563.945
2020,Africa,3884.9695,2319.0906,2145.362,1541.8435,1355.782,296.261,494.656,1380821355.0,,-123.629,-8.357,0.25,4465.167,16696.721,1548.806
2021,Africa,4036.9832,2666.7131,2333.0635,1765.4915,1441.534,322.761,552.703,1413753270.0,,85.752,6.325,0.256,4604.309,17249.426,1567.865
2022,Africa,3865.3696,2564.3389,2468.4685,1753.9181,1432.503,320.003,569.906,1446883817.0,,-9.031,-0.626,0.414,4654.375,17819.33,1585.524
2023,Africa,3986.0508,2536.4722,2474.7007,1790.8177,1418.739,312.63,565.198,1480770740.0,,-13.764,-0.961,0.415,4661.945,18384.529,1592.223
1965,Algeria,304.0002,,15.4052515,7.4305,6.589,1.778,4.179,12365980.0,35661975552.0,0.945,16.755,0.265,38.446,50.444,29.697
1966,Algeria,391.262,,20.272705,7.71925,8.421,1.85,5.972,12590068.0,33932634112.0,1.832,27.811,0.282,47.147,56.417,34.791
1967,Algeria,449.44415,,18.942032,7.48825,8.432,1.791,6.091,12876116.0,37094768640.0,0.011,0.127,0.298,43.238,62.507,32.733
1968,Algeria,493.38818,,20.167301,7.87325,9.05,1.884,6.536,13172615.0,41423888384.0,0.619,7.337,0.298,42.782,69.043,31.785
1969,Algeria,516.78827,,21.305931,10.351687,11.263,2.476,7.868,13475958.0,45387460608.0,2.213,24.449,0.336,47.985,76.91,34.154
1970,Algeria,561.8859,24.380125,24.34768,9.730875,15.059,0.136,6.837,13783725.0,49945669632.0,3.796,33.703,0.41,58.22,83.747,35.729
1971,Algeria,427.9568,25.69875,27.44005,11.0494995,18.65,0.674,7.617,14098938.0,45701218304.0,3.591,23.843,0.469,63.05,91.365,36.158
1972,Algeria,578.319,32.561375,30.121414,12.830126,28.323,3.136,7.258,14427076.0,55293906944.0,9.673,51.868,0.634,80.358,98.623,45.658
1973,Algeria,601.25507,43.216248,32.900345,17.859186,38.277,3.147,9.376,14771151.0,57097850880.0,9.955,35.148,0.719,90.378,108.0,46.787
1974,Algeria,556.3107,49.963375,36.54384,20.6745,31.877,2.451,9.607,15133507.0,60577882112.0,-6.401,-16.722,0.541,89.787,117.607,44.633
1975,Algeria,544.32935,61.523,40.63067,28.49,32.001,4.459,11.291,15678601.0,64883814400.0,0.125,0.391,0.455,91.422,128.898,44.568
1976,Algeria,607.42487,77.490875,46.71773,33.6875,39.131,6.063,11.035,16409170.0,69150105600.0,7.13,22.28,0.477,95.218,139.933,48.544
1977,Algeria,648.445,74.165436,52.806496,35.901253,41.845,3.605,13.868,17015987.0,75438030848.0,2.714,6.935,0.464,98.898,153.801,51.524
1978,Algeria,662.15814,115.01875,54.607944,57.65375,62.455,23.856,13.165,17506978.0,85103919104.0,20.61,49.254,0.551,122.399,166.966,56.338
1979,Algeria,675.54517,188.53452,65.31862,81.52375,45.546,8.167,15.359,18036655.0,92753895424.0,-16.91,-27.075,0.307,109.351,182.325,59.756
1980,Algeria,599.4387,154.09749,66.20243,109.43625,66.416,25.479,18.62,18607175.0,94481645568.0,20.871,45.824,0.375,125.339,200.946,54.302
1981,Algeria,534.1274,178.64844,71.323074,142.25749,46.342,11.165,18.157,19220708.0,96860520448.0,-20.074,-30.225,0.215,103.515,219.102,52.38
1982,Algeria,531.3829,233.10008,75.57342,161.41125,39.173,7.17,18.642,19872354.0,103073660928.0,-7.169,-15.47,0.158,95.699,237.745,54.068
1983,Algeria,522.8083,333.79263,84.89242,176.71501,52.504,16.61,22.022,20558121.0,108430385152.0,13.331,34.031,0.194,120.155,259.767,57.175
1984,Algeria,567.38074,339.75882,94.00201,155.25125,70.947,30.51,22.768,21271969.0,114406670336.0,18.443,35.126,0.273,137.516,282.535,59.249
1985,Algeria,547.31964,373.38113,96.5538,153.8075,72.609,27.7,22.504,22008541.0,120364212224.0,1.663,2.343,0.277,141.183,305.039,61.451
1986,Algeria,563.81366,381.89432,98.021255,168.4375,76.08,33.086,22.761,22745500.0,119145037824.0,3.471,4.781,0.274,148.3,327.8,63.773
1987,Algeria,583.7999,431.0078,99.10052,172.2875,83.883,40.117,25.091,23443628.0,118321217536.0,7.803,10.256,0.294,157.117,352.891,66.034
1988,Algeria,611.4504,450.5811,99.1726,194.13625,83.708,38.972,27.285,24109537.0,115821715456.0,-0.175,-0.209,0.274,156.991,380.176,66.274
1989,Algeria,633.65845,485.83163,103.93666,182.68251,79.808,36.673,25.153,24754488.0,119762427904.0,-3.9,-4.659,0.269,155.679,405.329,70.035
1990,Algeria,678.6744,516.5697,111.811615,195.09875,76.738,38.908,23.204,25375816.0,117843181568.0,-3.071,-3.848,0.244,160.869,428.533,73.687
1991,Algeria,682.6081,557.0305,110.627785,192.69249,78.807,38.428,26.066,25987937.0,121105145856.0,2.069,2.696,0.253,169.126,454.599,72.924
1992,Algeria,657.1114,580.01135,111.292656,198.94875,79.883,31.932,28.678,26628568.0,127982690304.0,1.076,1.366,0.249,165.198,483.277,74.175
1993,Algeria,655.03894,587.4662,110.754875,178.54375,81.944,36.098,27.993,27277040.0,130275778560.0,2.061,2.58,0.275,171.063,511.27,79.055
1994,Algeria,652.1087,540.1088,106.050896,188.16875,88.608,37.386,30.45,27887276.0,134279856128.0,6.664,8.133,0.293,175.045,541.72,78.543
1995,Algeria,649.08484,614.91296,103.14229,202.22125,96.777,47.222,27.081,28470194.0,145054662656.0,8.169,9.219,0.309,192.565,568.801,86.484
1996,Algeria,686.3133,652.51276,98.42208,207.7075,100.039,50.567,27.407,29033045.0,156579119104.0,3.263,3.371,0.323,196.756,596.207,88.907
1997,Algeria,716.0245,748.5882,97.64342,194.04001,88.369,39.007,30.019,29579300.0,164644454400.0,-11.67,-11.665,0.297,179.375,626.227,83.84
1998,Algeria,713.91675,801.62103,100.65875,200.68126,106.537,54.641,33.09,30054135.0,179962888192.0,18.167,20.558,0.346,196.014,659.316,82.317
1999,Algeria,680.686,901.0691,98.898346,205.10875,91.449,50.92,22.188,30474359.0,193179779072.0,-15.087,-14.162,0.294,183.054,681.504,85.214
2000,Algeria,776.73285,918.88635,103.13248,191.01294,85.399,38.534,26.828,30903895.0,208554147840.0,-6.051,-6.616,0.285,183.103,708.332,90.853
2001,Algeria,764.68414,864.7254,106.77533,197.32211,86.839,41.029,28.458,31331226.0,223420284928.0,1.441,1.687,0.279,175.084,736.79,80.836
2002,Algeria,824.4972,889.4159,118.397224,194.83888,90.692,44.653,29.495,31750833.0,245360918528.0,3.853,4.437,0.282,175.335,766.286,77.021
2003,Algeria,918.8281,938.57587,123.17412,205.93169,94.581,44.027,31.943,32175813.0,273568645120.0,3.888,4.287,0.281,187.613,798.228,84.692
2004,Algeria,971.6982,920.5494,128.74683,211.89919,91.714,41.209,32.818,32628286.0,296773582848.0,-2.866,-3.031,0.262,181.704,831.047,82.043
2005,Algeria,1005.2701,849.1175,134.21338,223.55988,110.993,61.211,31.052,33109258.0,326854475776.0,19.278,21.02,0.303,201.883,862.099,84.015
2006,Algeria,1002.5293,812.99493,139.84572,228.4975,105.896,49.306,35.233,33623505.0,345705316352.0,-5.096,-4.592,0.279,200.438,897.332,88.032
2007,Algeria,1005.7857,816.45984,156.39,233.80682,109.889,51.076,38.322,34189420.0,371665272832.0,3.993,3.771,0.275,200.464,935.654,83.362
2008,Algeria,985.7705,826.0079,169.91591,244.04189,111.087,51.551,37.363,34816962.0,395658526720.0,1.198,1.09,0.262,204.95,973.017,86.949
2009,Algeria,898.23145,765.66876,180.13443,262.1176,118.856,54.894,44.891,35490443.0,418247704576.0,7.769,6.994,0.265,205.922,1017.908,79.77
2010,Algeria,858.0033,773.9655,181.61191,253.27226,118.353,53.368,45.365,36188236.0,450705784832.0,-0.503,-0.423,0.27,210.812,1063.274,85.123
2011,Algeria,833.58026,795.9875,192.22765,267.9696,125.095,56.721,46.92,36903375.0,482028650496.0,6.741,5.696,0.269,217.176,1110.194,84.706
2012,Algeria,781.67554,784.4375,204.39526,298.74075,135.674,64.114,48.539,37646164.0,498417631232.0,10.58,8.457,0.267,229.93,1158.733,86.508
2013,Algeria,753.43787,793.38873,213.57639,321.21512,140.786,65.45,51.919,38414176.0,512373325824.0,5.112,3.768,0.262,233.758,1210.652,84.753
2014,Algeria,799.80676,801.724,221.92514,360.91824,151.283,73.831,52.885,39205035.0,531843514368.0,10.496,7.456,0.258,247.471,1263.537,88.161
2015,Algeria,781.8267,814.1114,236.14848,379.225,160.087,78.769,55.59,40019528.0,551521746944.0,8.805,5.82,0.259,257.118,1319.127,88.764
2016,Algeria,795.6897,913.92267,229.56384,385.9625,158.482,78.677,54.627,40850720.0,569170395136.0,-1.606,-1.003,0.257,260.646,1373.753,93.74
2017,Algeria,775.1163,929.7654,225.51212,394.625,165.174,82.352,55.323,41689304.0,577138786304.0,6.692,4.223,0.265,267.287,1429.076,93.668
2018,Algeria,759.81116,938.4375,227.7859,434.08752,172.705,88.885,56.233,42505033.0,584064434176.0,7.531,4.56,0.258,276.094,1485.309,93.982
2019,Algeria,748.1579,869.5225,236.9513,450.54623,179.907,91.998,59.637,43294550.0,589905133568.0,7.201,4.17,0.259,280.463,1544.945,91.641
2020,Algeria,670.1788,814.24615,211.92545,433.50037,168.178,87.024,54.125,44042093.0,559819915264.0,-11.729,-6.519,0.259,264.184,1599.07,87.372
2021,Algeria,676.866,1010.98114,221.2037,481.52914,179.596,96.259,57.343,44761101.0,578853797888.0,11.418,6.79,0.254,283.354,1656.413,94.872
2022,Algeria,721.8276,976.3215,226.91005,503.38748,184.558,100.626,57.407,45477391.0,595820019712.0,4.962,2.763,0.251,290.326,1713.82,96.622
2023,Algeria,732.75977,1015.2643,238.2033,542.33026,178.133,92.546,59.966,46164221.0,,-6.425,-3.481,0.253,282.645,1773.786,95.451
1965,Argentina,160.08415,,275.2159,41.234,58.805,7.247,47.324,22112635.0,226284879872.0,3.135,5.631,0.179,276.239,788.834,102.392
1966,Argentina,170.30933,,283.8763,44.6572,63.073,7.848,48.57,22453898.0,227834527744.0,4.268,7.258,0.186,284.321,837.404,105.903
1967,Argentina,185.64127,,290.73495,46.699448,65.476,8.208,49.777,22799062.0,233929080832.0,2.403,3.81,0.188,320.203,887.182,110.13
1968,Argentina,203.38063,,296.7972,51.999577,69.009,9.142,52.56,23150579.0,243886489600.0,3.533,5.396,0.191,294.982,939.742,110.684
1969,Argentina,210.5816,,308.01144,51.805077,77.249,9.105,60.573,23508715.0,264721498112.0,8.24,11.94,0.207,285.759,1000.315,106.387
1970,Argentina,232.60602,58.544502,278.4355,58.544502,82.648,10.281,63.926,23878331.0,278897360896.0,5.399,6.989,0.234,284.623,1064.241,107.228
1971,Argentina,250.86913,63.265987,296.50113,63.202774,88.847,11.021,69.319,24257211.0,292438867968.0,6.199,7.501,0.237,288.533,1133.56,108.948
1972,Argentina,258.39575,60.1394,295.18622,70.92443,90.067,12.469,69.297,24644332.0,301570129920.0,1.22,1.373,0.237,289.247,1202.857,113.598
1973,Argentina,251.22162,65.48815,297.19867,80.70778,93.976,14.187,71.21,25046008.0,319937937408.0,3.909,4.34,0.237,292.612,1274.067,116.935
1974,Argentina,245.91354,70.48679,297.124,85.4244,95.48,14.923,71.452,25461353.0,340686405632.0,1.504,1.601,0.232,290.202,1345.519,117.562
1975,Argentina,235.63022,74.804695,280.82806,87.525,94.845,15.722,68.913,25874106.0,337656020992.0,-0.635,-0.665,0.236,289.226,1414.431,120.161
1976,Argentina,237.41643,71.32315,290.2354,98.51425,99.699,16.467,71.868,26282282.0,336841146368.0,4.854,5.117,0.236,294.326,1486.3,123.091
1977,Argentina,256.58066,73.61825,305.6577,102.890495,100.706,16.905,72.702,26701814.0,357157961728.0,1.007,1.01,0.228,297.393,1559.002,127.543
1978,Argentina,269.9307,75.952255,299.6695,100.070244,102.556,16.426,72.899,27132164.0,341466742784.0,1.85,1.837,0.232,290.101,1631.901,122.622
1979,Argentina,282.35434,70.31175,320.9211,102.890495,110.616,18.016,79.073,27568894.0,365906427904.0,8.061,7.86,0.233,295.62,1710.973,122.541
1980,Argentina,293.85562,81.64623,298.28055,112.12925,108.656,19.566,76.508,28011596.0,371076956160.0,-1.96,-1.772,0.23,294.76,1787.481,121.109
1981,Argentina,299.3141,84.952736,279.43146,117.18625,101.969,20.485,70.059,28463957.0,349782016000.0,-6.688,-6.155,0.223,284.574,1857.541,118.673
1982,Argentina,297.39435,95.20775,268.86057,133.13525,103.351,23.249,69.032,28924269.0,338761515008.0,1.383,1.356,0.222,282.869,1926.573,117.163
1983,Argentina,298.51083,127.7865,273.41653,143.152,105.142,26.264,68.674,29391333.0,350706597888.0,1.791,1.733,0.216,288.464,1995.247,120.066
1984,Argentina,292.39865,131.093,260.50323,152.39075,106.452,27.301,67.237,29863091.0,357844353024.0,1.31,1.246,0.218,292.39,2062.484,121.29
1985,Argentina,280.96475,135.08025,241.9803,155.69725,100.531,28.809,60.435,30336448.0,334171439104.0,-5.92,-5.562,0.209,281.289,2122.919,120.626
1986,Argentina,265.96246,150.83475,250.56905,168.24251,104.15,30.964,62.2,30811983.0,358634684416.0,3.619,3.6,0.205,283.787,2185.12,119.073
1987,Argentina,262.51917,147.33376,267.40317,168.33974,114.877,36.699,66.454,31291764.0,367893610496.0,10.727,10.3,0.216,294.797,2251.573,117.286
1988,Argentina,275.8608,174.661,269.00543,196.6395,121.405,42.233,66.232,31780533.0,360921169920.0,6.528,5.682,0.225,308.005,2317.806,120.323
1989,Argentina,281.7945,184.67775,247.01988,206.559,117.02,44.609,59.753,32270958.0,338520801280.0,-4.384,-3.611,0.224,309.019,2377.559,121.828
1990,Argentina,295.8271,173.494,230.57684,197.32025,112.149,43.213,59.188,32755907.0,338751160320.0,-4.872,-4.163,0.219,312.334,2436.747,122.548
1991,Argentina,301.00766,193.81926,241.39496,200.9185,117.755,47.284,61.233,33230292.0,376057921536.0,5.606,4.999,0.226,346.004,2497.98,122.05
1992,Argentina,337.74042,195.37524,253.73552,217.2565,121.535,48.303,63.633,33693532.0,416679821312.0,3.78,3.21,0.217,342.419,2561.612,124.153
1993,Argentina,361.31882,209.28201,248.76807,229.41275,118.001,40.807,67.152,34152718.0,444780249088.0,-3.534,-2.908,0.204,335.297,2628.764,123.987
1994,Argentina,401.36295,216.57574,263.91055,235.83125,118.469,42.677,67.203,34613491.0,472926748672.0,0.468,0.397,0.195,337.789,2695.968,125.816
1995,Argentina,435.6241,243.22224,261.95877,262.47775,125.277,53.194,62.834,35070016.0,461601013760.0,6.807,5.746,0.199,347.306,2758.802,128.135
1996,Argentina,474.6901,281.34427,261.80048,301.18326,131.15,57.542,65.921,35513794.0,489406464000.0,5.873,4.688,0.2,350.828,2824.722,124.795
1997,Argentina,504.57437,266.2705,279.52618,277.55148,136.553,61.504,66.868,35947790.0,531526385664.0,5.404,4.12,0.205,358.378,2891.59,125.23
1998,Argentina,512.04645,287.76276,289.11743,296.70975,139.32,61.614,69.576,36372863.0,554567139328.0,2.767,2.026,0.202,360.215,2961.166,122.855
1999,Argentina,484.84152,336.19324,296.58893,314.701,148.304,67.619,72.723,36794686.0,538270597120.0,8.984,6.448,0.213,375.176,3033.889,127.468
2000,Argentina,480.87112,363.81226,269.79562,322.96722,143.469,69.438,67.434,37213985.0,536480972800.0,-4.835,-3.26,0.205,376.635,3101.323,128.914
2001,Argentina,510.89627,361.1865,250.16501,302.35025,135.137,64.807,64.334,37624818.0,514867265536.0,-8.332,-5.807,0.198,375.235,3165.657,128.149
2002,Argentina,503.27725,351.16974,236.54623,294.37576,124.931,62.618,57.495,38029346.0,460558532608.0,-10.206,-7.552,0.191,438.218,3223.153,131.581
2003,Argentina,501.18347,399.11398,240.75447,336.2905,134.481,69.068,59.355,38424284.0,503104143360.0,9.55,7.644,0.192,496.371,3282.508,140.466
2004,Argentina,477.1305,436.45798,261.0261,368.09128,157.049,82.913,67.813,38815915.0,550306316288.0,22.568,16.782,0.211,548.137,3350.322,142.708
2005,Argentina,457.86237,443.75174,272.52386,392.89,161.589,81.967,71.8,39216787.0,601050382336.0,4.539,2.89,0.204,561.961,3422.121,140.585
2006,Argentina,458.60773,448.3225,286.84134,406.505,174.309,83.867,81.911,39622113.0,652296781824.0,12.72,7.872,0.21,578.216,3504.032,143.171
2007,Argentina,444.4343,435.97174,316.03925,427.12198,173.581,87.178,77.952,40016766.0,714725195776.0,-0.728,-0.418,0.201,509.561,3581.983,139.471
2008,Argentina,439.66977,428.4835,318.08936,431.88724,187.342,90.12,88.658,40424149.0,747157389312.0,13.761,7.928,0.214,489.573,3670.641,137.055
2009,Argentina,395.9278,403.0119,301.67108,418.3556,178.181,87.993,82.38,40854832.0,705920827392.0,-9.162,-4.89,0.209,581.036,3753.021,130.646
2010,Argentina,387.02927,389.96994,325.73422,420.87415,185.946,86.928,90.145,41288694.0,785785159680.0,7.765,4.358,0.21,532.046,3843.167,121.533
2011,Argentina,362.68546,377.17847,338.19656,438.3979,189.775,92.586,86.906,41730655.0,837742690304.0,3.829,2.059,0.209,530.076,3930.073,120.203
2012,Argentina,358.6779,366.91202,360.93686,456.6421,191.362,95.381,85.587,42161718.0,829147447296.0,1.587,0.836,0.203,492.679,4015.66,123.675
2013,Argentina,351.06256,345.55853,410.6305,460.27692,189.538,91.338,87.487,42582454.0,849088348160.0,-1.824,-0.953,0.193,465.765,4103.147,124.986
2014,Argentina,346.41473,344.8588,393.0657,461.5498,188.397,92.844,84.292,43024072.0,827750809600.0,-1.141,-0.602,0.192,484.721,4187.439,125.942
2015,Argentina,349.43137,354.91144,400.8621,466.5257,191.744,93.535,86.954,43477009.0,850356666368.0,3.347,1.777,0.192,451.467,4274.394,126.093
2016,Argentina,333.0377,372.82358,389.2025,482.10013,189.92,96.303,84.556,43900312.0,832669286400.0,-1.823,-0.951,0.191,443.72,4358.949,128.37
2017,Argentina,317.0157,371.4989,377.06842,483.00027,186.899,96.442,80.856,44288898.0,856142118912.0,-3.022,-1.591,0.189,421.577,4439.805,132.716
2018,Argentina,320.5191,394.2329,356.3348,487.0214,180.599,96.123,74.392,44654876.0,833736998912.0,-6.3,-3.371,0.183,418.329,4514.197,132.614
2019,Argentina,393.4316,416.15262,320.13205,465.58917,178.508,95.606,74.847,44973468.0,817053892608.0,-2.091,-1.158,0.192,436.947,4589.043,133.37
2020,Argentina,392.29428,382.92526,282.3385,439.31247,165.121,89.083,67.319,45191960.0,735814221824.0,-13.387,-7.499,0.19,396.199,4656.362,131.85
2021,Argentina,437.04614,386.08496,340.6155,459.3407,191.108,93.073,86.529,45312283.0,812324159488.0,25.987,15.738,0.199,416.624,4742.892,129.182
2022,Argentina,527.52936,416.52444,383.51245,458.53778,204.081,92.908,99.135,45407904.0,854914301952.0,12.973,6.788,0.198,433.366,4842.026,129.569
2023,Argentina,595.3271,415.93362,370.75543,449.4753,195.806,91.051,93.742,45538402.0,,-8.275,-4.055,0.192,422.011,4935.768,128.234
1965,Asia,5387.5947,,2249.215,94.06829,1649.873,68.343,514.452,1894030096.0,,142.455,9.45,0.323,6162.011,6272.782,2019.071
1966,Asia,6009.961,,2581.3262,108.518105,1797.063,75.264,583.87,1940186410.0,,147.19,8.921,0.32,6277.878,6856.652,2121.577
1967,Asia,6417.0938,,2914.7913,126.20213,1825.098,81.314,649.28,1986308204.0,,28.035,1.56,0.313,6100.229,7505.932,2115.504
1968,Asia,7239.6665,,3263.2776,148.6373,2015.996,89.492,766.906,2034769705.0,,190.898,10.46,0.322,6364.178,8272.838,2214.968
